SampleID,PlantOrigin,SedOrigin,TankID,Dead,ShootLength_mm,ShootWidth_mm,LeafGrowth1_mm,LeafGrowth2_mm,LeafGrowth3_mm,LeafGrowth4_mm,LeafGrowth5_mm,DatePunched,DateMeasured,DaysGrowing,LongestRoot_mm,Rhiz_Length_mm,No_RootBundles,ShootCount,Term_FoilPre_g,Term_FoilPost_g,Side_FoilPre_g,Side_FoilPost_g,Rhiz_FoilPre_g,Rhiz_FoilPost_g,Root_FoilPre_g,Root_FoilPost_g,root.hair1.mm,root.hair2.mm,root.hair3.mm,root.area.mm2,proportion.root.area.mm,dimensions.of.image.mm,area.of.image.mm2,root.hair.surface.area.mm2,propotion.root.hair.area.mm,sulfide.um
3-7,MILL,BLAK,7,1,NA,NA,NA,NA,NA,NA,NA,Sept 25th,Oct 3rd,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3-8,MILL,BLAK,8,0,597,8,172,67,71,NA,NA,Sept 25th,Oct 3rd,8,55,118,12,3,0.71,1.5453,1.33,1.488,0.936,1.2827,0.791,1.1246,0.275,0.216,0.473,0.234,0.229389276,1.01x1.01,1.0201,0.215,0.210763651,19.248
3-9,MILL,BLAK,9,0,642,8,165,135,67,109,NA,Sept 25th,Oct 4th,9,70,150,11,2,0.673,1.7254,1.446,1.539,0.763,1.294,0.779,1.0001,0.341,0.278,0.314,0.271,0.271,1x1,1,0.14,0.14,11.4535
3-10,MILL,BLAK,10,0,476,8,125,110,117,170,NA,Sept 25th,Oct 4th,9,75,120,9,2,0.697,1.5041,0.804,0.9,0.891,1.2416,0.796,1.1477,0.203,0.12,0.166,0.209,0.204881874,1.01 x 1.01,1.0201,0.063,0.061758651,75.2505
3-11,MILL,BLAK,11,0,543,7,91,141,45,155,55,Sept 25th,Oct 4th,9,65,161,11,2,0.725,1.8757,NA,NA,0.907,1.4843,0.796,1.1053,0.23,0.223,0.2,0.257,0.257,1x1,1,0.094,0.094,307.317
3-12,MILL,BLAK,12,0,675,8,136,82,136,NA,NA,Sept 25th,Oct 4th,9,65,157,11,2,0.72,1.7057,1.453,1.8144,0.892,1.4218,0.81,1.1186,0.268,0.118,0.247,0.291,0.291,1x1,1,0.112,0.112,326.181
3-13,MILL,BLAK,13,0,598,7,NA,NA,NA,NA,NA,Sept 25th,Oct 4th,9,45,82,11,2,0.742,1.3826,0.768,0.7955,0.894,1.1218,0.778,0.897,0.573,0.297,0.444,0.263,0.263,1x1,1,0.212,0.212,31.7225
3-14,MILL,BLAK,14,0,487,8,54,75,125,157,NA,Sept 25th,Oct 4th,9,75,161,10,2,0.761,1.5491,0.774,0.837,0.871,1.3729,0.779,1.0151,0.362,0.253,0.163,0.267,0.272421182,0.99x0.99,0.9801,0.131,0.133659831,53.9925
3-15,MILL,BLAK,15,0,587,7,167,119,173,NA,NA,Sept 25th,Oct 4th,9,51,128,10,3,0.731,1.6353,0.757,0.9704,0.858,1.316,0.793,1.4824,0.277,0.343,0.35,0.259,0.259,1x1,1,0.09,0.09,48.0975
4-1,BLAK,MILL,1,0,524,6,146,81,167,NA,NA,Sept 25th,Oct 3rd,8,91,74,16,2,0.816,1.2506,0.794,0.895,0.774,0.87423,0.844,0.9147,0.225,0.269,0.285,0.175,0.178553209,0.99x0.99,0.9801,0.156,0.159167432,13.0255
